dataset,accuracy,precision,recall,f1,roc_auc
Baseline - Validation,0.9465828208140419,0.0,0.0,0.0,0.5
Logistic Regression - Validation,0.6769400870706931,0.10538025889967638,0.6739974126778784,0.18226342487318523,0.7531664380235488
Final Model - Test,0.48348535102266443,0.09933611999016474,0.8443051201671892,0.17775822241777584,0.6705406856656427
